Name,URL
  "links": {
    "self": "https://api.miro.com/v2/boards/<BOARD-ID>/embeds/3458764532406641234"
  },
  "createdAt": "2022-09-01T13:28:47Z",
  "createdBy": {
    "id": "3074457356556534321",
    "type": "user"
  },
  "data": {
    "contentType": "video",
    "description": "Faster Hands &amp; Feet (in 10 days) ► https://www.Drumeo.com/faster/ The Ultimate Drumming Toolbox ►https://www.drumeo.com/ultimate-toolbox/ What&#39;s better than one awesome drummer? Two awesome drummers! Check out this drum duet featuring Senri Kawaguchi and Sarah Thawer playing the funky track &#34;Real Life&#34; (by Senri Kawaguchi). They trade solos mid-video before transitioning into a heavier version of the song.",
    "html": "<iframe class=\"embedly-embed\" src=\"//cdn.embedly.com/widgets/media.html?src=https%3A%2F%2Fwww.youtube.com%2Fembed%2FifDJgNlg3sc%3Ffeature%3Doembed&display_name=YouTube&url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DifDJgNlg3sc&image=https%3A%2F%2Fi.ytimg.com%2Fvi%2FifDJgNlg3sc%2Fhqdefault.jpg&key=982f25f1832140d79e2af93ff42af70c&type=text%2Fhtml&schema=youtube\" width=\"854\" height=\"480\" scrolling=\"no\" title=\"YouTube embed\" frameborder=\"0\" allow=\"autoplay; fullscreen\" allowfullscreen=\"true\"></iframe>",
    "mode": "modal",
    "providerName": "YouTube",
    "providerUrl": "https://www.youtube.com/",
    "title": "Senri Kawaguchi &amp; Sarah Thawer Drum-Off",
    "url": "https://www.youtube.com/watch?v=ifDJgNlg3sc"
  },
  "geometry": {
    "width": 800,
    "height": 449.84615384615387
  },
  "modifiedAt": "2022-09-01T13:28:47Z",
  "modifiedBy": {
    "id": "3074457356556534321",
    "type": "user"
  },
  "position": {
    "x": 3700,
    "y": -300,
    "origin": "center",
    "relativeTo": "canvas_center"
  }
}
